,wc,ec,fs,gp,kz,lp,mp,nc,nw,all_p
lon,18.9597369,24.2152182,24.8156578,27.0031443,28.6320331,26.8952102,27.8881444,16.4924277,23.2133434,26.2222350486097
lat,-38.4150924,-32.0878275,-28.6628035,-26.0123722,-28.9261778,-23.7576045,-25.7264034,-28.7804427,-26.3573354,-29.1455045104532
